region,f1r1r1,f1r1r2,f1r2,f1r3r1,f1r3r2,f1r3r3,f1r3_3,f1r3_3r1,f1r3_3r2,f1r3_3r3,f1r3_3r4,f1r4,f1r5r1,f1r5r2,f1r6,f1r7,f1r8,f1r9,f1r9_1g1,f1r9_1g2,f1r10,f1r10_1,f1r10_2,f1r10_3,f1r11r1,f1r11r2,f1r12r1,f1r12r2,f1r13r1,f1r13r2,f1r13_1r1g1,f1r13_1r1g2,f1r13_1r1g3,f1r13_1r2g1,f1r13_1r2g2,f1r13_1r2g3,f1r13_1r3g1,f1r13_1r3g2,f1r13_1r3g3,f1r15,f1r16,f1r17,f1r18,f1r19,f1r19_1,f1r20,f1r21,f1r21_1,f1r22,f1r23g1,f1r23g2,f1r23g3,f1r23_1g1,f1r23_1g2,f1r23_1g3,f1r24g1,f1r24g2,f1r24g3,f1r25r1g1,f1r25r1g2,f1r25r1g3,f1r25r1g4,f1r25r2g1,f1r25r2g2,f1r25r2g3,f1r25r2g4,f1r25_1r1g1,f1r25_1r1g2,f1r25_1r1g3,f1r25_1r1g4,f1r25_1r1g5,f1r25_1r1g6,f1r25_1r1g7,f1r25_1r1g8,f1r25_1r1g9,f1r25_1r2g1,f1r25_1r2g2,f1r25_1r2g3,f1r25_1r2g4,f1r25_1r2g5,f1r25_1r2g6,f1r25_1r2g7,f1r25_1r2g8,f1r25_1r2g9,f1r25_2r1g1,f1r25_2r1g2,f1r25_2r1g3,f1r25_2r2g1,f1r25_2r2g2,f1r25_2r2g3,f1r25_3r1g1,f1r25_3r1g2,f1r25_3r1g3,f1r25_3r1g4,f1r25_3r1g5,f1r25_3r2g1,f1r25_3r2g2,f1r25_3r2g3,f1r25_3r2g4,f1r25_3r2g5,f1r25_4r1g1,f1r25_4r1g2,f1r25_4r1g3,f1r25_4r1g4,f1r25_4r1g5,f1r25_4r2g1,f1r25_4r2g2,f1r25_4r2g3,f1r25_4r2g4,f1r25_4r2g5,f1r26g1,f1r26g2,f1r26g3,f1r26g4,f1r26g5,f1r26g6,f1r27g1,f1r27g2,f1r27g3,f1r27g4,f1r27g5,f1r27g6,f1r28g1,f1r28g2,f1r28g3,f1r28g4,f1r28g5,f1r29,f1r29_1g1,f1r29_1g2,f1r29_1g3,f1r29_1g4,f1r30_1,f1r30_2,f1r30_3,f1r30_4,f1r30_5,f1r30_6,f1r30_7,f1r30_8,f1r30_9,f1r30_10,f1r30_11,f1r30_12,f1r31,f1r32r1,f1r32r2,f1r33g1,f1r33g2,f1r33g3,f1r33g4,f1r33g5,f1r34g1,f1r34g2,f1r34g3,f1r34g4,f1r35g1,f1r35g2,f1r36g1,f1r36g2,f1r37g1,f1r37g2,f1r38g1,f1r38g2,f1r38g3,f1r40,f1_1r5,f1_1r6,f1_1r9,f1_1r10,f1_1r11g1,f1_1r11g2,f1_1r12g1,f1_1r12g2,f1_1r12g3,f1_1r13g1,f1_1r13g2,f1_1r13g3,f1_1r13g4,f1_1r14g1,f1_1r14g2,f1_1r14g3,f1_1r15g1,f1_1r15g2,f1_1r16,f1_1r17g1,f1_1r17g2,f1_1r17g3,f1_1r18g1,f1_1r18g2,f1_1r18_1g1,f1_1r18_1g2,f1_1r19g1,f1_1r19g2,f1_1r20g1,f1_1r20g2,f1_1r21g1,f1_1r21g2,f1_1r22g1,f1_1r22g2,f1_1r23g1,f1_1r23g2,f1_1r23g3,f1_1r23g4,f1_1r24g1,f1_1r24g2,f1_1r25r1,f1_1r25r2,f1_1r25_1r1,f1_1r25_1r2,f1_1r26g1,f1_1r26g2,f1_1r27g1,f1_1r27g2,f1_1r28r1g1,f1_1r28r1g2,f1_1r28r1g3,f1_1r28r1g4,f1_1r28r1g5,f1_1r28r2g1,f1_1r28r2g2,f1_1r28r2g3,f1_1r28r2g4,f1_1r28r2g5,f1_1r29g1,f1_1r29g2,f1_1r29g3,f1_1r30g1,f1_1r30g2,f1_1r31g1,f1_1r31g2,f1_1r31g3,f1_1r32g1,f1_1r32g2,f1_1r32g3,f1_1r32g4,f1_1r32g5,f1_1r32_1g1,f1_1r32_1g2,f1_1r33,f1_1r33_1,f1_1r34,f1_1r34_1,f1_1r35,f1_1r35_1,f1_1r36g1,f1_1r36g2,f1_1r36g3,f1_1r36g4,f1_1r36g5,f1_1r37,f1_2r5,f1_2r6,f1_2r9g1,f1_2r9g2,f1_2r10,f1_2r11g1,f1_2r11g2,f1_2r12,f1_2r13,f1_2r14,raskr
1120,1,16,1,1,2010,167652,11001200055167652,1,10,1200055,167652,1,839,17.09.2010,20100923,20100923,,98,,,85,,,,1,20.09.2010,03.06.2010,,228013,ц,,,,,,,,,,4,,,1,,,,2,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20210703,20210703,,430,,,,,,,,,,,,,,,,,,,589,,,,589,,1,,,,1,,16,,,,900,,1,20210519,,,2,10,1,,,,,,,,,,,,,,,,,41,51,,2,18,,,,1,,2,,7,2,,,,,,,,20210519,,,,,,,,,2,7,1
1120,7,6,1,1,2017,400042,11707200001400042,1,17,7200001,400042,1,225,27.07.2017,20170731,20170731,,43,1,,10,,,,1,28.07.2017,22.06.2014,,282022,,,,,,,,,,,4,,,1,,20000000000,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20210428,20210428,,,,,,,,,,,,,,,,,,,,,589,,737,,737,,,,,,1,,2,,,,,,4,20210415,,,,,,,,,,,,,,,,,,,,,,,,,2,11,12,,,1,,10,,43,,,,,,,,,20210415,,,,,,,,,10,43,1
1120,1,11,1,1,2017,110491,11701200050110491,1,17,1200050,110491,1,5356,29.03.2017,20170430,20170430,,7,,,4,,,,1,27.04.2017,20.03.2017,,159004,,,,,,,,,,,3,,3,1,,20401365000,,2,,,4,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,1,,,,,,1,,,,,,,,,4,,,,,2,,,,,,589,,589,,,,,3,20211012,20211012,,110,,,10,,,,,,,1,9,,111,,,,,,589,,,,589,,1,2,,,156,29,2,,,,,,1,20210930,,,,,,,1,,,,,10000.0,,,,,,,,,,41,,,11,2,,,,1,,3,,7,,,,,,,,,20210930,,,,,,,,,3,7,1
1120,2,11,1,1,2019,110008,11902200002110008,1,19,2200002,110008,1,41,21.01.2019,20190222,20190222,,12,,,3,,,,1,19.02.2019,31.12.2018,18,328001,,,,,,,,,,,2,,,1,,20401365000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20210415,20210415,,,,,,,,,,,,,,,,,,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210406,,,,,1,,,,,,,,,,,,,,,,,43,,,2,2,,,,,,1,,12,,,,,,,,,20210406,,,,,,,,,1,12,1
1120,1,11,1,1,2019,111345,11901200050111345,1,19,1200050,111345,1,15466,11.08.2019,20190919,20190919,,2,,,4,,,,1,09.09.2019,11.08.2019,5,167002,,,,,,,,,,,3,,3,1,,20401365000,,2,1100,,45,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,161,,,,,,,,,,,,14,28,,,2,,,,,,1,,,,,,,,,4,,,,,6,2,,,2899,,589,,589,,,,,2,20210401,20210401,1100,,,,,,,,,,,,,1,,,,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210320,,,,,,,1,,,,,680000.0,,,,,,,,,,,,,2,2,,,,1,,2,,7,79,11302,11302,3,,,,,20210320,20191130,20191130,4,,,1,,20191119,2,7,1
1120,1,11,1,1,2019,111346,11901200050111346,1,19,1200050,111346,1,17748,11.09.2019,20190919,20190919,,80,,,4,,,,1,14.09.2019,31.08.2019,22,167002,,,,,,,,,,,3,,3,1,,20401365000,,2,1100,,52,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,589,,589,,,,,2,20210401,20210401,1100,,,,,,,,,,,1,,,,,,,,,,589,,,589,,1,,,,1,,2,,,,,,1,20210320,,,,,,,1,,,,,15000.0,,,,,,,,,,,,,2,2,,,,1,,2,,7,79,11302,11302,3,,,,,20210320,20191130,20191130,4,,,1,,20191119,2,7,1
1120,1,11,1,1,2019,111348,11901200050111348,1,19,1200050,111348,1,11742,20.06.2019,20190920,20190920,,7,,,7,1032,113,12,1,18.09.2019,20.06.2019,22,167001,,,,,,,,,,,2,,,1,,20401365000,,2,1100,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,589,,589,,,,,2,20210401,20210401,1100,,,,,,,,,,,1,,,,,,,,,,589,,,589,,1,,,,1,,2,,,,,,1,20210320,,,,,,,1,,,,,11600.0,,,,,,,,,,,,,2,2,,,,1,,2,,7,79,11302,11302,3,,,,,20210320,20191130,20191130,4,,,1,,20191119,2,7,1
1120,1,8,1,1,2019,111540,11901200050111540,1,19,1200050,111540,1,20936,24.10.2019,20191031,20191031,,7,,,4,,,,1,24.10.2019,23.10.2019,11,159002,,,,,,,,,,,3,,3,1,,20401365000,,2,,,4,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,50,,,,,116,,,,,,237,108,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,1888,,589,,589,,,,,2,20210704,20210704,,,,,,,,,,,,,,,,,,,,,589,,,,589,,2,,,,1,,2,,,,,,1,20210216,9,20210511,1,,1,,1,,,,,11500.0,,,,,,,,,,11,,,18,,,,,1,,2,15,7,61,11309,,,,,,,20210216,,,,,,,,,2,7,1
1120,1,11,1,1,2019,111891,11901200050111891,1,19,1200050,111891,1,11187,14.06.2019,20191231,20191231,,7,,,4,1032,113,12,1,31.12.2019,13.06.2019,17,115001,,,,,,,,,,,1,,,1,,20401365000,,2,1100,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,2499,,589,,589,,,,,2,20210502,20210502,1100,,,,,,,,,,,1,9,,,,,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210430,,,,,,,,,,,,,,,,,,,,,,11,41,51,16,,,,,1,,2,,7,2,1309,1309,,,,,,20210430,,,,,,,,,2,7,1
1120,1,11,1,1,2020,110356,12001200050110356,1,20,1200050,110356,1,3856,23.02.2020,20200310,20200310,,7,,,7,,,,1,03.03.2020,23.02.2020,22,159001,,,,,,,,,,,2,,,1,309,20401365000,,2,1100,,24,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,5,20210502,20210502,1100,,,,,,,,,,,,,,,,,,,,589,,,,589,,1,,,,1,,2,,,,,,31,20210429,,,1,,,,1,,,,,3267.0,,,,,,,,,,,,,2,,,,,1,,5,,7,7,,,,,,,,20210429,,,,,,,,,5,7,1
